state_loc_year,state,year,block,plot,date,cc_trmt,cc,term_win,herb_trmt,h,legacy_trmt,site,rye_kgha,weeds_kgha,weed_spp_top3,total_bm_kgha,harvest_date,yield,timing,spp_code,surface,lt10cm,b10_30cm,gt30cm,spp_total,subsample,seed
DE-1-24,DE,2024,1.0,105,2024-05-21,1 DAP,14,26,Ctl,UTC,High fertility,high,2528,NA,"OEOLA, VICSA, CERVU",NA,2024-10-24,42.051,28 DAP,AMAPA,0,20,0,0,20,NA,small
DE-1-24,DE,2024,1.0,105,2024-05-21,1 DAP,14,26,Ctl,UTC,High fertility,high,2528,NA,"OEOLA, VICSA, CERVU",NA,2024-10-24,42.051,28 DAP,AMBEL,2,14,0,0,16,NA,large
DE-1-24,DE,2024,1.0,106,2024-05-21,1 DAP,14,26,Residual,PRE,High fertility,high,2568,NA,NA,NA,2024-10-24,50.99479,28 DAP,AMAPA,0,0,0,0,0,NA,small
DE-1-24,DE,2024,1.0,106,2024-05-21,1 DAP,14,26,Residual,PRE,High fertility,high,2568,NA,NA,NA,2024-10-24,50.99479,28 DAP,AMBEL,2,0,0,0,2,NA,large
DE-1-24,DE,2024,1.0,103,2024-04-25,14 DPP,0,0,Ctl,UTC,High fertility,high,928,NA,"OEOLA, VICSA, CERVU",NA,2024-10-24,40.96837,28 DAP,AMAPA,24,64,2,0,90,NA,small
DE-1-24,DE,2024,1.0,103,2024-04-25,14 DPP,0,0,Ctl,UTC,High fertility,high,928,NA,"OEOLA, VICSA, CERVU",NA,2024-10-24,40.96837,28 DAP,AMBEL,4,20,2,0,26,NA,large
DE-1-24,DE,2024,1.0,104,2024-04-25,14 DPP,0,0,Residual,PRE,High fertility,high,928,NA,NA,NA,2024-10-24,54.05834,28 DAP,AMAPA,0,0,0,0,0,NA,small
DE-1-24,DE,2024,1.0,104,2024-04-25,14 DPP,0,0,Residual,PRE,High fertility,high,928,NA,NA,NA,2024-10-24,54.05834,28 DAP,AMBEL,0,0,0,0,0,NA,large
DE-1-24,DE,2024,1.0,101,NA,CTL,0,NA,Ctl,UTC,High fertility,high,0,NA,NA,NA,2024-10-24,44.43003,28 DAP,AMAPA,20,44,22,0,86,NA,small
DE-1-24,DE,2024,1.0,101,NA,CTL,0,NA,Ctl,UTC,High fertility,high,0,NA,NA,NA,2024-10-24,44.43003,28 DAP,AMBEL,4,26,4,0,34,NA,large
DE-1-24,DE,2024,1.0,102,NA,CTL,0,NA,Residual,PRE,High fertility,high,0,NA,NA,NA,2024-10-24,50.40976,28 DAP,AMAPA,0,0,0,0,0,NA,small
DE-1-24,DE,2024,1.0,102,NA,CTL,0,NA,Residual,PRE,High fertility,high,0,NA,NA,NA,2024-10-24,50.40976,28 DAP,AMBEL,0,2,0,0,2,NA,large
DE-1-24,DE,2024,2.0,202,2024-05-21,1 DAP,14,26,Ctl,UTC,High fertility,high,2232,79.03999999999999,1 cutleaf evening primrose (OEOLA),2311.04,2024-10-24,55.03923,28 DAP,AMAPA,6,70,2,0,78,NA,small
DE-1-24,DE,2024,2.0,202,2024-05-21,1 DAP,14,26,Ctl,UTC,High fertility,high,2232,79.03999999999999,1 cutleaf evening primrose (OEOLA),2311.04,2024-10-24,55.03923,28 DAP,AMBEL,2,12,0,0,14,NA,large
DE-1-24,DE,2024,2.0,201,2024-05-21,1 DAP,14,26,Residual,PRE,High fertility,high,1576,NA,NA,NA,2024-10-24,48.00073,28 DAP,AMAPA,0,0,0,0,0,NA,small
DE-1-24,DE,2024,2.0,201,2024-05-21,1 DAP,14,26,Residual,PRE,High fertility,high,1576,NA,NA,NA,2024-10-24,48.00073,28 DAP,AMBEL,2,2,0,0,4,NA,large
DE-1-24,DE,2024,2.0,205,2024-04-25,14 DPP,0,0,Ctl,UTC,High fertility,high,NA,NA,NA,NA,2024-10-24,57.87346,28 DAP,AMAPA,2,76,0,0,78,NA,small
DE-1-24,DE,2024,2.0,205,2024-04-25,14 DPP,0,0,Ctl,UTC,High fertility,high,NA,NA,NA,NA,2024-10-24,57.87346,28 DAP,AMBEL,2,22,2,0,26,NA,large
DE-1-24,DE,2024,2.0,206,2024-04-25,14 DPP,0,0,Residual,PRE,High fertility,high,NA,NA,NA,NA,2024-10-24,53.61752,28 DAP,AMAPA,0,0,0,0,0,NA,small
DE-1-24,DE,2024,2.0,206,2024-04-25,14 DPP,0,0,Residual,PRE,High fertility,high,NA,NA,NA,NA,2024-10-24,53.61752,28 DAP,AMBEL,0,0,0,0,0,NA,large
DE-1-24,DE,2024,2.0,203,NA,CTL,0,NA,Ctl,UTC,High fertility,high,0,NA,NA,NA,2024-10-24,49.66979,28 DAP,AMAPA,6,218,0,0,224,NA,small
DE-1-24,DE,2024,2.0,203,NA,CTL,0,NA,Ctl,UTC,High fertility,high,0,NA,NA,NA,2024-10-24,49.66979,28 DAP,AMBEL,4,12,0,0,16,NA,large
DE-1-24,DE,2024,2.0,204,NA,CTL,0,NA,Residual,PRE,High fertility,high,0,NA,NA,NA,2024-10-24,58.51863,28 DAP,AMAPA,0,2,0,0,2,NA,small
DE-1-24,DE,2024,2.0,204,NA,CTL,0,NA,Residual,PRE,High fertility,high,0,NA,NA,NA,2024-10-24,58.51863,28 DAP,AMBEL,0,0,0,0,0,NA,large
DE-1-24,DE,2024,3.0,303,2024-05-21,1 DAP,14,26,Ctl,UTC,High fertility,high,2760,NA,NA,NA,2024-10-24,62.49782,28 DAP,AMAPA,0,4,2,0,6,NA,small
DE-1-24,DE,2024,3.0,303,2024-05-21,1 DAP,14,26,Ctl,UTC,High fertility,high,2760,NA,NA,NA,2024-10-24,62.49782,28 DAP,AMBEL,0,0,2,0,2,NA,large
DE-1-24,DE,2024,3.0,304,2024-05-21,1 DAP,14,26,Residual,PRE,High fertility,high,1560,NA,NA,NA,2024-10-24,53.36748,28 DAP,AMAPA,0,0,0,0,0,NA,small
DE-1-24,DE,2024,3.0,304,2024-05-21,1 DAP,14,26,Residual,PRE,High fertility,high,1560,NA,NA,NA,2024-10-24,53.36748,28 DAP,AMBEL,0,0,0,0,0,NA,large
DE-1-24,DE,2024,3.0,302,2024-04-25,14 DPP,0,0,Ctl,UTC,High fertility,high,1648,NA,NA,NA,2024-10-24,62.25902,28 DAP,AMAPA,8,28,16,0,52,NA,small
DE-1-24,DE,2024,3.0,302,2024-04-25,14 DPP,0,0,Ctl,UTC,High fertility,high,1648,NA,NA,NA,2024-10-24,62.25902,28 DAP,AMBEL,4,16,0,0,20,NA,large
DE-1-24,DE,2024,3.0,301,2024-04-25,14 DPP,0,0,Residual,PRE,High fertility,high,1648,NA,NA,NA,2024-10-24,59.29123,28 DAP,AMAPA,NA,NA,NA,NA,0,NA,small
DE-1-24,DE,2024,3.0,301,2024-04-25,14 DPP,0,0,Residual,PRE,High fertility,high,1648,NA,NA,NA,2024-10-24,59.29123,28 DAP,AMBEL,2,0,0,0,2,NA,large
DE-1-24,DE,2024,3.0,306,NA,CTL,0,NA,Ctl,UTC,High fertility,high,0,NA,NA,NA,2024-10-24,56.64661,28 DAP,AMAPA,10,26,26,0,62,NA,small
DE-1-24,DE,2024,3.0,306,NA,CTL,0,NA,Ctl,UTC,High fertility,high,0,NA,NA,NA,2024-10-24,56.64661,28 DAP,AMBEL,2,28,2,0,32,NA,large
DE-1-24,DE,2024,3.0,305,NA,CTL,0,NA,Residual,PRE,High fertility,high,0,NA,NA,NA,2024-10-24,60.58551,28 DAP,AMAPA,0,2,0,0,2,NA,small
DE-1-24,DE,2024,3.0,305,NA,CTL,0,NA,Residual,PRE,High fertility,high,0,NA,NA,NA,2024-10-24,60.58551,28 DAP,AMBEL,2,4,0,0,6,NA,large
DE-1-24,DE,2024,4.0,405,2024-05-21,1 DAP,14,26,Ctl,UTC,High fertility,high,3176,NA,NA,NA,2024-10-24,57.6783,28 DAP,AMAPA,0,68,0,0,68,NA,small
DE-1-24,DE,2024,4.0,405,2024-05-21,1 DAP,14,26,Ctl,UTC,High fertility,high,3176,NA,NA,NA,2024-10-24,57.6783,28 DAP,AMBEL,6,4,0,0,10,NA,large
DE-1-24,DE,2024,4.0,406,2024-05-21,1 DAP,14,26,Residual,PRE,High fertility,high,2192,NA,NA,NA,2024-10-24,60.83074,28 DAP,AMAPA,0,0,0,0,0,NA,small
